Address,Availability,Owner,Rooms,Size,links,postal,city,streetaddress,Price,acconto,housenumber,X,Y,UTM1,UTM2
"Vestre Teglgade  2P, 3. TH2450 København SV",01-11-2017,PKA_Logo_2014,4,111,https://www.findbolig.nu/bolig.aspx?aid=27780&s=2,2450,København SV,Vestre Teglgade,14701.43,1160.0,2P,12.54819572,55.65294401,345735.94274578773,6170180.097816388
"Nørrebrogade 224, 1. tv2200 København N",01-11-2017,AdvokaterLoegstrup,3,93,https://www.findbolig.nu/bolig.aspx?aid=27750&s=2,2200,København N,Nørrebrogade,11250.0,1350.0,224,12.54020343,55.70013915,345419.471807537,6175448.55214671
"Nørrebrogade 224, 1. th2200 København N",01-11-2017,AdvokaterLoegstrup,3,102,https://www.findbolig.nu/bolig.aspx?aid=27751&s=2,2200,København N,Nørrebrogade,14000.0,1350.0,224,12.54020343,55.70013915,345419.471807537,6175448.55214671
"Nørrebrogade 224, 2. tv2200 København N",01-11-2017,AdvokaterLoegstrup,3,93,https://www.findbolig.nu/bolig.aspx?aid=27752&s=2,2200,København N,Nørrebrogade,12500.0,1350.0,224,12.54020343,55.70013915,345419.471807537,6175448.55214671
"Nørrebrogade 224, 2. th2200 København N",01-11-2017,AdvokaterLoegstrup,3,102,https://www.findbolig.nu/bolig.aspx?aid=27753&s=2,2200,København N,Nørrebrogade,15000.0,1350.0,224,12.54020343,55.70013915,345419.471807537,6175448.55214671
"Nørrebrogade 224, 3. tv2200 København N",01-11-2017,AdvokaterLoegstrup,3,93,https://www.findbolig.nu/bolig.aspx?aid=27754&s=2,2200,København N,Nørrebrogade,13000.0,1350.0,224,12.54020343,55.70013915,345419.471807537,6175448.55214671
"Nørrebrogade 224, 3. th2200 København N",01-11-2017,AdvokaterLoegstrup,3,102,https://www.findbolig.nu/bolig.aspx?aid=27755&s=2,2200,København N,Nørrebrogade,15000.0,1350.0,224,12.54020343,55.70013915,345419.471807537,6175448.55214671
"Nørrebrogade 224, 4. tv2200 København N",01-11-2017,AdvokaterLoegstrup,3,92,https://www.findbolig.nu/bolig.aspx?aid=27756&s=2,2200,København N,Nørrebrogade,13500.0,1350.0,224,12.54020343,55.70013915,345419.471807537,6175448.55214671
"Nørrebrogade 224, 4. th2200 København N",01-11-2017,AdvokaterLoegstrup,3,102,https://www.findbolig.nu/bolig.aspx?aid=27757&s=2,2200,København N,Nørrebrogade,15000.0,1350.0,224,12.54020343,55.70013915,345419.471807537,6175448.55214671
"Krimsvej  23, 14. tv.2300 København S",01-11-2017,Lærernes Pension,3,92,https://www.findbolig.nu/bolig.aspx?aid=27930&s=2,2300,København S,Krimsvej,14416.22,1000.0,23,12.6318765,55.65903342,351023.0439423981,6170674.670612634
"Carl Jacobsens Vej  19U, 2. TH2500 Valby",01-11-2017,Lærernes Pension,4,127,https://www.findbolig.nu/bolig.aspx?aid=27901&s=2,2500,Valby,Carl Jacobsens Vej,15652.72,1200.0,19U,12.51785894,55.65274398,343826.8300900011,6170225.72503503
"Axel Heides Gade  24, st. TH.2300 København S",01-11-2017,Lærernes Pension,3,111,https://www.findbolig.nu/bolig.aspx?aid=27935&s=2,2300,København S,Axel Heides Gade,15303.85,1360.0,24,12.57191615,55.66003821,347255.70566923136,6170916.8665048685
"Ben Websters Vej 70, 2. 132450 København SV",01-11-2017,CEJ Ejendomsadministration,3,106,https://www.findbolig.nu/bolig.aspx?aid=28004&s=2,2450,København SV,Ben Websters Vej,15500.0,1000.0,70,12.55251882,55.64619062,345981.37225971674,6169419.150500648
"Ben Websters Vej 62, 4. tv2450 København SV",01-11-2017,CEJ Ejendomsadministration,3,92,https://www.findbolig.nu/bolig.aspx?aid=28011&s=2,2450,København SV,Ben Websters Vej,15000.0,1000.0,62,12.55192056,55.64645101,345944.75490290276,6169449.448285781
"Ben Websters Vej 38, 1. mf2450 København SV",01-11-2017,CEJ Ejendomsadministration,3,93,https://www.findbolig.nu/bolig.aspx?aid=28012&s=2,2450,København SV,Ben Websters Vej,14500.0,1000.0,38,12.55161621,55.64651396,345925.85390937305,6169457.127616339
"Ernie Wilkins Vej  13, 2. th2450 København SV",01-11-2017,CEJ Ejendomsadministration,3,95,https://www.findbolig.nu/bolig.aspx?aid=28013&s=2,2450,København SV,Ernie Wilkins Vej,13500.0,1000.0,13,12.55130202,55.64593132,345903.79816355044,6169393.004439088
"Artillerivej  150, 3. tv2300 København S",15-11-2017,PKA_Logo_2014,3,92,https://www.findbolig.nu/bolig.aspx?aid=27738&s=2,2300,København S,Artillerivej,12374.68,970.0,150,12.56828672,55.65441641,347005.5068457064,6170299.413447841
"Bordeauxgade  1, 2. tv.2150 Nordhavn",15-11-2017,PKA_Logo_2014,3,121,https://www.findbolig.nu/bolig.aspx?aid=27740&s=2,2150,Nordhavn,Bordeauxgade,19020.01,1310.83,1,12.59547438,55.70663854,348917.18589783774,6176049.800184811
"Artillerivej  156, 4. th2300 København S",01-12-2017,PKA_Logo_2014,4,123,https://www.findbolig.nu/bolig.aspx?aid=27747&s=2,2300,København S,Artillerivej,15815.55,1285.0,156,12.56808428,55.6539345,346990.89280656737,6170246.245258105
"Artillerivej  160, 11. 12300 København S",01-12-2017,PKA_Logo_2014,3,100,https://www.findbolig.nu/bolig.aspx?aid=27781&s=2,2300,København S,Artillerivej,14622.6,1085.0,160,12.5678003,55.65353166,346971.45776376827,6170202.053889057
"Artillerivej  160, 6. 22300 København S",01-12-2017,PKA_Logo_2014,4,127,https://www.findbolig.nu/bolig.aspx?aid=27782&s=2,2300,København S,Artillerivej,15828.59,1460.0,160,12.5678003,55.65353166,346971.45776376827,6170202.053889057
"Artillerivej  160, 14. 32300 København S",01-12-2017,PKA_Logo_2014,4,134,https://www.findbolig.nu/bolig.aspx?aid=27785&s=2,2300,København S,Artillerivej,19597.3,1455.0,160,12.5678003,55.65353166,346971.45776376827,6170202.053889057
"Carl Jacobsens Vej  17A, st. TH.2500 Valby",01-12-2017,PKA_Logo_2014,3,106,https://www.findbolig.nu/bolig.aspx?aid=27786&s=2,2500,Valby,Carl Jacobsens Vej,12291.37,1150.0,17A,12.51919443,55.65266599,343910.52797860146,6170214.042549659
"Vesterbrogade 31, 4. tv1620 København V",01-12-2017,AdvokaterLoegstrup,2,101,https://www.findbolig.nu/bolig.aspx?aid=27765&s=2,1620,København V,Vesterbrogade,12500.0,1725.0,31,12.55842829,55.6727489,346457.1979046158,6172360.771632055
"Artillerivej  160, 9. 42300 København S",01-12-2017,PKA_Logo_2014,4,129,https://www.findbolig.nu/bolig.aspx?aid=27850&s=2,2300,København S,Artillerivej,17135.08,1400.0,160,12.5678003,55.65353166,346971.45776376827,6170202.053889057
"Vestre Havnevej  22 , 1. th4400 Kalundborg",01-12-2017,PKA_Logo_2014,4,84,https://www.findbolig.nu/bolig.aspx?aid=27853&s=2,4400,Kalundborg,Vestre Havnevej,8590.33,800.0,22,11.08073253,55.67873062,630834.7296892097,6172286.511106574
"Edvard Thomsens Vej 7C, 3. tv2300 København S",01-12-2017,CEJ Ejendomsadministration,3,100,https://www.findbolig.nu/bolig.aspx?aid=27821&s=2,2300,København S,Edvard Thomsens Vej,13400.0,900.0,7C,12.57455311,55.63237443,347313.92900279525,6167833.338357091
"Margretheholmsvej  42, 2. tv1432 København K",01-12-2017,PKA_Logo_2014,4,92,https://www.findbolig.nu/bolig.aspx?aid=27916&s=2,1432,København K,Margretheholmsvej,11922.59,960.0,42,12.61528825,55.68481039,350078.3368562487,6173578.271302773
"Krimsvej  23, 4. mf.2300 København S",01-12-2017,Lærernes Pension,3,106,https://www.findbolig.nu/bolig.aspx?aid=27920&s=2,2300,København S,Krimsvej,14600.0,1200.0,23,12.6318765,55.65903342,351023.0439423981,6170674.670612634
"Dirch Passers Allé  19, 2. tv2000 Frederiksberg",01-12-2017,Pædagogernes Pensionskasse,3,105,https://www.findbolig.nu/bolig.aspx?aid=27957&s=2,2000,Frederiksberg,Dirch Passers Allé,16214.08,1127.8,19,12.50506539,55.68229518,343140.35421236185,6173542.258045896
"Carl Jacobsens Vej  19U, 1. TV2500 Valby",01-12-2017,Lærernes Pension,5,140,https://www.findbolig.nu/bolig.aspx?aid=27962&s=2,2500,Valby,Carl Jacobsens Vej,15979.34,1350.0,19U,12.51785894,55.65274398,343826.8300900011,6170225.72503503
"Carl Jacobsens Vej  19T, 1. TH2500 Valby",01-12-2017,Lærernes Pension,4,118,https://www.findbolig.nu/bolig.aspx?aid=27963&s=2,2500,Valby,Carl Jacobsens Vej,14120.11,1150.0,19T,12.51808834,55.65285474,343841.7013472067,6170237.530985527
"Carl Jacobsens Vej  19Y, 2. TV2500 Valby",01-12-2017,Lærernes Pension,4,109,https://www.findbolig.nu/bolig.aspx?aid=27964&s=2,2500,Valby,Carl Jacobsens Vej,13768.36,1100.0,19Y,12.51830978,55.65304692,343856.39594495925,6170258.413127415
"Margretheholmsvej  40, 7. tv1432 København K",01-12-2017,PKA_Logo_2014,4,137,https://www.findbolig.nu/bolig.aspx?aid=27976&s=2,1432,København K,Margretheholmsvej,19279.09,1420.0,40,12.61520709,55.68471063,350072.85379535035,6173567.347830034
"Dirch Passers Allé  21, 2. th2000 Frederiksberg",01-12-2017,Pædagogernes Pensionskasse,4,123,https://www.findbolig.nu/bolig.aspx?aid=28014&s=2,2000,Frederiksberg,Dirch Passers Allé,18989.08,876.8,21,12.50506539,55.68229518,343140.35421236185,6173542.258045896
"Ben Websters Vej 68, 5. tv2450 København SV",01-12-2017,CEJ Ejendomsadministration,3,93,https://www.findbolig.nu/bolig.aspx?aid=28006&s=2,2450,København SV,Ben Websters Vej,15500.0,1000.0,68,12.55227786,55.64632143,345966.7257172698,6169434.238617558
"Krimsvej  11D, st. th.2300 København S",01-12-2017,Lærernes Pension,2,80,https://www.findbolig.nu/bolig.aspx?aid=27982&s=2,2300,København S,Krimsvej,11628.5,700.0,11D,12.63052703,55.6604819,350943.67336488015,6170838.7225443255
"Poul Hartlings Gade  6, 1. th2300 København S",01-12-2017,Sampension,3,90,https://www.findbolig.nu/bolig.aspx?aid=27953&s=2,2300,København S,Poul Hartlings Gade,14339.38,962.5,6,12.57058515,55.65965788,347170.5119101904,6170877.484761021
"Ben Websters Vej 70, 2. 122450 København SV",01-12-2017,CEJ Ejendomsadministration,4,106,https://www.findbolig.nu/bolig.aspx?aid=28003&s=2,2450,København SV,Ben Websters Vej,15500.0,1000.0,70,12.55251882,55.64619062,345981.37225971674,6169419.150500648
"Gyngemose Parkvej 2E, 5. th2860 Søborg",01-12-2017,CEJ Ejendomsadministration,4,97,https://www.findbolig.nu/bolig.aspx?aid=27997&s=2,2860,Søborg,Gyngemose Parkvej,12400.0,1000.0,2E,12.4737093,55.72607562,341346.9559816328,6178484.314126972
"Gyngemose Parkvej 2E, 6. tv2860 Søborg",01-12-2017,CEJ Ejendomsadministration,4,97,https://www.findbolig.nu/bolig.aspx?aid=27998&s=2,2860,Søborg,Gyngemose Parkvej,12500.0,1000.0,2E,12.4737093,55.72607562,341346.9559816328,6178484.314126972
"Ben Websters Vej 66, 2. tv2450 København SV",01-12-2017,CEJ Ejendomsadministration,3,95,https://www.findbolig.nu/bolig.aspx?aid=28008&s=2,2450,København SV,Ben Websters Vej,15000.0,1000.0,66,12.55210852,55.6463828,345956.31260331406,6169441.442276262
"Ben Websters Vej 66, 4. tv2450 København SV",01-12-2017,CEJ Ejendomsadministration,3,95,https://www.findbolig.nu/bolig.aspx?aid=28009&s=2,2450,København SV,Ben Websters Vej,15000.0,1000.0,66,12.55210852,55.6463828,345956.31260331406,6169441.442276262
"Axel Heides Gade  26, 3. TH2300 København S",01-12-2017,Lærernes Pension,3,83,https://www.findbolig.nu/bolig.aspx?aid=28018&s=2,2300,København S,Axel Heides Gade,13514.97,870.0,26,12.57209657,55.65996201,347266.75613945303,6170907.991604627
"Marmorvej  15B, 1. tv.2100 København Ø",01-12-2017,Pensam,4,136,https://www.findbolig.nu/bolig.aspx?aid=27457&s=2,2100,København Ø,Marmorvej,19720.0,1530.0,15B,12.59482277,55.70440761,348867.6393435747,6175803.0157434475
"Carl Jacobsens Vej  14T, 1. TH2500 Valby",01-12-2017,AP Pension,4,101,https://www.findbolig.nu/bolig.aspx?aid=27107&s=2,2500,Valby,Carl Jacobsens Vej,13664.83,1047.92,14T,12.51911268,55.65330153,343907.91482622107,6170284.932289664
"Artillerivej  154, 4. tv2300 København S",01-12-2017,PKA_Logo_2014,3,91,https://www.findbolig.nu/bolig.aspx?aid=27249&s=2,2300,København S,Artillerivej,12577.08,970.0,154,12.56814482,55.65410511,346995.3665458603,6170265.09286936
"Carl Jacobsens Vej  14G, st.2500 Valby",01-12-2017,AP Pension,4,123,https://www.findbolig.nu/bolig.aspx?aid=26499&s=2,2500,Valby,Carl Jacobsens Vej,14657.5,1281.25,14G,12.51950826,55.6538,343934.7817068657,6170339.4985620165
"Carl Jacobsens Vej  14S, 3. TH2500 Valby",01-12-2017,AP Pension,4,98,https://www.findbolig.nu/bolig.aspx?aid=26518&s=2,2500,Valby,Carl Jacobsens Vej,13609.38,1015.62,14S,12.5193559,55.65322972,343922.92847137875,6170276.395936967
"Carl Jacobsens Vej  14S, 4. TH2500 Valby",01-12-2017,AP Pension,4,98,https://www.findbolig.nu/bolig.aspx?aid=26521&s=2,2500,Valby,Carl Jacobsens Vej,14425.5,1018.75,14S,12.5193559,55.65322972,343922.92847137875,6170276.395936967
"Carl Jacobsens Vej  14T, 2. TH2500 Valby",01-12-2017,AP Pension,4,101,https://www.findbolig.nu/bolig.aspx?aid=26524&s=2,2500,Valby,Carl Jacobsens Vej,13678.42,1048.95,14T,12.51911268,55.65330153,343907.91482622107,6170284.932289664
"Carl Jacobsens Vej  14T, 4. TH2500 Valby",01-12-2017,AP Pension,4,131,https://www.findbolig.nu/bolig.aspx?aid=26528&s=2,2500,Valby,Carl Jacobsens Vej,15865.42,1367.71,14T,12.51911268,55.65330153,343907.91482622107,6170284.932289664
"Carl Jacobsens Vej  14T, st. TH2500 Valby",01-12-2017,AP Pension,4,90,https://www.findbolig.nu/bolig.aspx?aid=26531&s=2,2500,Valby,Carl Jacobsens Vej,12491.5,940.62,14T,12.51911268,55.65330153,343907.91482622107,6170284.932289664
"Kløverbladsgade  55, st.2500 Valby",01-12-2017,AP Pension,4,121,https://www.findbolig.nu/bolig.aspx?aid=26533&s=2,2500,Valby,Kløverbladsgade,14897.5,1262.5,55,12.51917612,55.65429661,343915.8655462427,6170395.49527501
"Kløverbladsgade  63, st.2500 Valby",01-12-2017,AP Pension,4,132,https://www.findbolig.nu/bolig.aspx?aid=26537&s=2,2500,Valby,Kløverbladsgade,15675.0,1375.0,63,12.51936145,55.65429372,343927.51166723634,6170394.7567552
"Kløverbladsgade  71, 2. TV2500 Valby",01-12-2017,AP Pension,4,97,https://www.findbolig.nu/bolig.aspx?aid=26562&s=2,2500,Valby,Kløverbladsgade,13027.58,1011.45,71,12.51886753,55.65395057,343895.0773180437,6170357.691659634
"Kløverbladsgade  73, 1. MF2500 Valby",01-12-2017,AP Pension,3,118,https://www.findbolig.nu/bolig.aspx?aid=26568&s=2,2500,Valby,Kløverbladsgade,13286.25,1230.21,73,12.51884727,55.6535762,343892.3128365178,6170316.087433333
"Kløverbladsgade  73, 1. TV2500 Valby",01-12-2017,AP Pension,3,123,https://www.findbolig.nu/bolig.aspx?aid=26570&s=2,2500,Valby,Kløverbladsgade,13792.5,1277.08,73,12.51884727,55.6535762,343892.3128365178,6170316.087433333
"Kløverbladsgade  73, st. TH2500 Valby",01-12-2017,AP Pension,3,107,https://www.findbolig.nu/bolig.aspx?aid=26580&s=2,2500,Valby,Kløverbladsgade,13119.75,1115.62,73,12.51884727,55.6535762,343892.3128365178,6170316.087433333
"Kløverbladsgade  75, 1. TV2500 Valby",01-12-2017,AP Pension,3,108,https://www.findbolig.nu/bolig.aspx?aid=26583&s=2,2500,Valby,Kløverbladsgade,12968.88,1121.88,75,12.51885933,55.65348558,343892.710762938,6170305.978538306
"Peder Nilen Gade  1, st. lejl. 2403400 Hillerød",01-10-2017,DanicaLogo,3,127,https://www.findbolig.nu/bolig.aspx?aid=23796&s=2,3400,Hillerød,Peder Nilen Gade,13577.25,700.0,1,12.2975147,55.92948464,331168.4273467959,6201530.667389273
"Marmorvej  27, st. th.2100 København Ø",01-10-2017,Pensam,4,129,https://www.findbolig.nu/bolig.aspx?aid=23849&s=2,2100,København Ø,Marmorvej,20789.46,1440.0,27,12.59532573,55.70427165,348898.71191935916,6175786.793029893
"Marmorvej  25, st. th.2100 København Ø",01-10-2017,Pensam,3,94,https://www.findbolig.nu/bolig.aspx?aid=23850&s=2,2100,København Ø,Marmorvej,15308.55,1050.0,25,12.59537301,55.70412253,348901.10662748525,6175770.0994652035
"Artillerivej  92B, 5. tv.2300 København S",01-10-2017,PKA_Logo_2014,4,140,https://www.findbolig.nu/bolig.aspx?aid=23050&s=2,2300,København S,Artillerivej,23606.63,1400.0,92B,12.5757677,55.66149077,347503.59312253504,6171069.996249847
"Amagerfælledvej  116, 1. TV2300 København S",01-10-2017,AP Pension,4,119,https://www.findbolig.nu/bolig.aspx?aid=22012&s=2,2300,København S,Amagerfælledvej,15556.08,1350.0,116,12.59132651,55.65686795,348464.2470385459,6170521.585873095
"Artillerivej  160, 3. 42300 København S",01-10-2017,PKA_Logo_2014,4,129,https://www.findbolig.nu/bolig.aspx?aid=22357&s=2,2300,København S,Artillerivej,16079.84,1400.0,160,12.5678003,55.65353166,346971.45776376827,6170202.053889057
"Teglholmsgade  76, 2. th.2450 København SV",01-10-2017,Pensamlogo,3,94,https://www.findbolig.nu/bolig.aspx?aid=22507&s=2,2450,København SV,Teglholmsgade,13717.61,915.0,76,12.5545268,55.64996496,346122.5110096676,6169834.6051720595
"Artillerivej  160, 7. 42300 København S",01-10-2017,PKA_Logo_2014,4,129,https://www.findbolig.nu/bolig.aspx?aid=24335&s=2,2300,København S,Artillerivej,17135.08,1400.0,160,12.5678003,55.65353166,346971.45776376827,6170202.053889057
"Krimsvej  11B, st. th.2300 København S",01-10-2017,Lærernes Pension,3,109,https://www.findbolig.nu/bolig.aspx?aid=24363&s=2,2300,København S,Krimsvej,14228.5,1200.0,11B,12.62994677,55.66054548,350907.4202866848,6170847.0432984345
"Vestre Teglgade  2G, st. TV2450 København SV",01-10-2017,PKA_Logo_2014,3,124,https://www.findbolig.nu/bolig.aspx?aid=24131&s=2,2450,København SV,Vestre Teglgade,17595.25,1295.0,2G,12.54910441,55.65333034,345794.6224721386,6170221.058185867
